"species","longitude","latitude"
"Mustela putorius",1504510,6299620
"Mustela putorius",1475270,6560869
"Mustela putorius",1390660,6310560
"Mustela putorius",1292093,6318911
"Mustela putorius",1329924,6174385
"Mustela putorius",1444060,6432810
"Mustela putorius",1458013,6333666
"Mustela putorius",1362850,6444315
"Mustela putorius",1401081,6173124
"Mustela putorius",1374419,6201555
"Mustela putorius",1373990,6507380
"Mustela putorius",1320390,6440750
"Mustela putorius",1337814,6179836
"Mustela putorius",1302234,6431665
"Mustela putorius",1449170,6316090
"Mustela putorius",1425093,6215847
"Mustela putorius",1330572,6631599
"Mustela putorius",1518789,6273312
"Mustela putorius",1526830,6303597
"Mustela putorius",1293500,6324870
"Mustela putorius",1401979,6221773
"Mustela putorius",1408694,6609024
"Mustela putorius",1563950,6560463
"Mustela putorius",1351029,6658544
"Mustela putorius",1337980,6212900
"Mustela putorius",1427655,6224800
"Mustela putorius",1364243,6169123
"Mustela putorius",1588460,6619237
"Mustela putorius",1358268,6587726
"Mustela putorius",1444624,6244565
"Mustela putorius",1328607,6164133
"Mustela putorius",1539556,6603162
"Mustela putorius",1399277,6312084
"Mustela putorius",1473428,6562269
"Mustela putorius",1510708,6301843
"Mustela putorius",1339710,6466880
"Mustela putorius",1368796,6340206
"Mustela putorius",1444458,6251719
"Mustela putorius",1311901,6330199
"Mustela putorius",1288475,6327413
"Mustela putorius",1352177,6178088
"Mustela putorius",1330249,6401578
"Mustela putorius",1525470,6579840
"Mustela putorius",1399180,6371880
"Mustela putorius",1389211,6493939
"Mustela putorius",1326819,6170750
"Mustela putorius",1331807,6162741
"Mustela putorius",1504100,6307440
"Mustela putorius",1354628,6175947
"Mustela putorius",1336807,6415323
"Mustela putorius",1330150,6161780
"Mustela putorius",1311780,6211970
"Mustela putorius",1362760,6445490
"Mustela putorius",1445634,6229426
"Mustela putorius",1492590,6544520
"Mustela putorius",1492460,6274010
"Mustela putorius",1304534,6428450
"Mustela putorius",1536368,6411736
"Mustela putorius",1452140,6386902
"Mustela putorius",1459427,6382127
"Mustela putorius",1344558,6193667
"Mustela putorius",1439050,6368050
"Mustela putorius",1399480,6279240
"Mustela putorius",1273476,6404204
"Mustela putorius",1455400,6545319
"Mustela putorius",1352840,6177040
"Mustela putorius",1280200,6413860
"Mustela putorius",1335283,6212364
"Mustela putorius",1444094,6321637
"Mustela putorius",1452064,6237414
"Mustela putorius",1350375,6638736
"Mustela putorius",1378580,6240480
"Mustela putorius",1573882,6517813
"Mustela putorius",1282232,6484037
"Mustela putorius",1295158,6569770
"Mustela putorius",1303000,6440900
"Mustela putorius",1393946,6169643
"Mustela putorius",1433070,6322560
"Mustela putorius",1325900,6389460
"Mustela putorius",1523000,6538620
"Mustela putorius",1485883,6482508
"Mustela putorius",1315326,6298119
"Mustela putorius",1516764,6499774
"Mustela putorius",1260489,6408413
"Mustela putorius",1545097,6249581
"Mustela putorius",1271851,6400533
"Mustela putorius",1392361,6190207
"Mustela putorius",1342980,6151750
"Mustela putorius",1298891,6414227
"Mustela putorius",1368430,6229460
"Mustela putorius",1296999,6384079
"Mustela putorius",1453420,6600060
"Mustela putorius",1352641,6645328
"Mustela putorius",1368943,6464284
"Mustela putorius",1326110,6301580
"Mustela putorius",1414357,6316010
"Mustela putorius",1261638,6451573
"Mustela putorius",1427432,6399772
"Mustela putorius",1351430,6153285
"Mustela putorius",1379661,6662646
"Mustela putorius",1329390,6214400
"Mustela putorius",1394717,6220446
"Mustela putorius",1376151,6460737
"Mustela putorius",1370715,6465986
"Mustela putorius",1263550,6456080
"Mustela putorius",1453195,6578716
"Mustela putorius",1644520,6667520
"Mustela putorius",1449320,6573560
